X,Y,r,Measurement
-1818,-779,1977.8688,62.2
-2219,-895,2392.6943,63.8
-1686,-903,1912.5912,62.3
-2038,-927,2238.9223,63.8
-1805,-1164,2147.7712,63.7
-1288,-920,1582.8278,63.6
-727,-964,1207.4042,62.6
-196,-1244,1259.3459,61.6
-711,-1464,1627.5187,61.9
-994,-1334,1663.6081,62.8
-745,-1331,1525.315,62.2
-1123,-1495,1869.8005,63.5
-1553,-1467,2136.3282,62.9
-1602,-1079,1931.4878,63.9
-1216,-1103,1641.7262,63.6
-1065,-763,1310.1122,63.4
-690,-1207,1390.3054,63.2
-144,-1093,1102.445,62.0
-350,-729,808.6662,61.4
-354,-1173,1225.253,61.8
-1871,-1036,2138.6765,63.8
-1363,-962,1668.2964,62.7
-966,-1253,1582.1394,63.4
-1302,-1151,1737.8162,64.1
-1005,-1037,1444.0893,63.6
-674,-776,1027.8385,62.6
-235,-780,814.6318,62.4
6,-1049,1049.0172,62.6
-414,-1421,1480.0801,62.4
58,-1340,1341.2546,65.2
-1516,-1220,1945.9332,64.8
-1891,-1403,2354.6316,63.0
-1327,-1370,1907.3094,63.4
-1145,-832,1415.3618,63.7
-733,-778,1068.9121,63.0
-597,-1278,1410.5648,62.4
-388,-743,838.2082,63.3
158,-913,926.5706,62.1
199,-1234,1249.9428,62.6
325,-1517,1551.4232,61.5
-781,-1314,1528.5801,63.7
-969,-788,1248.9616,63.4
-1128,-1086,1565.8161,62.8
-981,-585,1142.1847,64.0
-671,-634,923.1452,62.6
-191,-512,546.4659,64.2
-507,-496,709.2708,62.1
-872,-942,1283.6464,63.3
-1162,-745,1380.3148,64.7
-857,-630,1063.6489,64.1
-1230,-707,1418.7139,64.1
-1160,-1031,1551.9539,64.1
-773,-985,1252.0998,62.3
-434,-1223,1297.723,62.3
-288,-805,854.9673,62.0
-572,-1037,1184.2943,62.5
-964,-1093,1457.3761,63.4
-1062,-1448,1795.7026,62.8
-1247,-1204,1733.3854,63.0
-1230,-1508,1946.0123,62.9
-2780,-1119,2996.7584,63.8
-2256,-1284,2595.8028,62.6
-1736,-1129,2070.83,63.8
-1168,-1054,1573.2578,63.2
-749,-795,1092.2573,62.3
-1235,-849,1498.6747,63.5
-992,-1081,1467.1827,62.6
-1463,-749,1643.5845,63.8
-1914,-932,2128.8542,63.8
-2222,-1150,2501.956,62.5
-162,-1065,1077.2507,62.2
-526,-598,796.417,62.0
-246,-981,1011.3738,63.4
-816,-1138,1400.3214,62.6
-961,-1414,1709.6541,62.4
-976,-1059,1440.1587,63.5
-646,-744,985.3182,63.0
-170,-619,641.9198,62.5
136,-880,890.4471,62.3
146,-1375,1382.7295,62.2
-555,-473,729.2146,61.7
-535,-794,957.4241,62.3
-795,-1023,1295.5902,62.5
-579,-718,922.3692,62.4
-889,-627,1087.8649,62.3
-1119,-1133,1592.4352,63.5
-1187,-793,1427.5216,64.1
-1530,-1135,1905.0262,63.6
-1101,-1300,1703.5847,62.7
-1427,-1445,2030.8506,63.6
-334,-927,985.335,64.2
63,-948,950.091,63.1
-314,-1083,1127.6014,62.8
-820,-1324,1557.3619,62.6
-764,-824,1123.6868,62.0
-673,-1115,1302.3648,63.0
-638,-662,919.3955,62.5
-1045,-864,1355.9207,62.5
-1352,-1149,1774.29,63.2
-1904,-984,2143.2387,62.8
-1939,-991,2177.5679,64.0
-1688,-1401,2193.6602,62.4
-1933,-1132,2240.0699,63.4
-1582,-772,1760.3147,62.5
-1227,-596,1364.0913,63.4
-845,-903,1236.7029,63.2
-806,-498,947.4387,63.1
-769,-841,1139.5797,62.8
-1093,-814,1362.8078,63.2
-943,-1314,1617.3574,62.8
-573,-1262,1385.9917,62.6
-297,-909,956.2897,63.3
-768,-1097,1339.1165,62.3
-1032,-874,1352.3683,63.4
-1172,-464,1260.5078,63.3
-1174,-812,1427.4523,64.0
-759,-877,1159.8319,63.2
-1056,-501,1168.8186,62.8
-1610,-521,1692.2,63.6
-1448,-1071,1801.04,63.6
-1287,-1017,1640.3225,63.4
-1666,-1069,1979.4739,64.2
-1681,-572,1775.6534,63.4
-1895,-982,2134.3264,63.7
-1651,-1280,2089.067,63.7
-2235,-1178,2526.442,62.7
-1833,-1425,2321.748,63.9
-1354,-1227,1827.2507,62.7
-1917,-1183,2252.638,64.2
-1487,-1437,2067.8825,64.0
-1183,-921,1499.2431,64.7
-873,-834,1207.3463,62.7
-1099,-1263,1674.2073,63.4
-863,-1019,1335.3389,63.4
-759,-486,901.2641,62.4
-1080,-985,1461.7199,63.8
-1332,-473,1413.4897,63.5
-1687,-478,1753.4118,63.8
-2250,-602,2329.1423,62.4
-2580,-515,2630.8981,63.8
-799,-1534,1729.6118,62.1
-519,-1282,1383.0709,62.2
-332,-1012,1065.0671,62.0
-667,-831,1065.575,63.0
-322,-732,799.6924,63.9
-743,-673,1002.4859,63.0
-452,-765,888.5544,63.5
-175,-990,1005.3482,63.3
147,-1191,1200.0375,61.7
251,-723,765.33,62.4
-846,-1260,1517.6679,64.1
-668,-866,1093.7001,62.2
-1122,-1056,1540.7855,63.7
-1434,-864,1674.172,63.2
-1359,-1169,1792.6076,63.9
-1038,-1000,1441.3341,63.8
-486,-905,1027.2395,62.2
-304,-1184,1222.4042,62.8
124,-778,787.8198,63.5
527,-902,1044.6688,64.1
-2076,-1409,2508.9952,62.3
-2270,-1136,2538.3845,63.6
-1915,-1338,2336.1226,63.0
-1536,-1468,2124.6929,64.1
-1775,-1049,2061.8016,63.5
-1780,-746,1930.0041,62.4
-2089,-642,2185.4256,63.7
-2118,-1108,2390.3113,62.7
-1634,-770,1806.3377,64.3
-1528,-1289,1999.076,66.2
-121,-1330,1335.4928,61.3
-565,-1450,1556.1893,62.9
-274,-1135,1167.6048,62.1
-809,-944,1243.2285,63.5
-1154,-926,1479.5918,63.0
-1297,-1355,1875.6956,63.0
-1807,-1443,2312.4658,61.8
-1729,-931,1963.7215,62.9
-2265,-851,2419.5921,63.3
-1776,-713,1913.7777,63.0
-1664,-1262,2088.43,64.9
-1322,-1368,1902.3953,62.8
-1199,-1007,1565.7746,63.4
-1019,-1303,1654.1372,63.3
-1133,-943,1474.0889,62.7
-1341,-1204,1802.1923,62.9
-1802,-1148,2136.6113,63.4
-1340,-961,1648.9757,62.6
-1770,-916,1992.9767,62.7
-2059,-1257,2412.3702,62.1
-1494,-1093,1851.1307,64.8
-1138,-1147,1615.7515,62.6
-1071,-855,1370.4255,63.0
-1345,-1324,1887.3264,63.3
-1877,-1116,2183.709,63.4
-2245,-891,2415.348,63.2
-2012,-1228,2357.144,62.7
-2421,-1234,2717.3511,61.4
-2370,-852,2518.4924,62.4
-2500,-1387,2858.9804,61.8
